Geography,Zip,Total Population,Land Area in Square Miles,Population Per Square Mile (Land Area)
ZCTA5 95389,95389,"1,272",236,5
ZCTA5 95391,95391,"9,959",23.8,419
ZCTA5 95401,95401,"36,981",20.6,"1,793"
ZCTA5 95403,95403,"45,164",22,"2,052"
ZCTA5 95404,95404,"39,761",80,497
ZCTA5 95405,95405,"21,399",5.5,"3,907"
ZCTA5 95407,95407,"39,352",22.7,"1,735"
ZCTA5 95409,95409,"27,187",38.4,708
ZCTA5 95410,95410,950,39.9,24
ZCTA5 95412,95412,401,85.7,5
ZCTA5 95415,95415,"1,592",55.3,29
ZCTA5 95417,95417,297,75.3,4
ZCTA5 95420,95420,374,2,186
ZCTA5 95421,95421,"1,592",216.6,7
ZCTA5 95422,95422,"15,585",35.2,442
ZCTA5 95423,95423,"3,747",102.8,36
ZCTA5 95425,95425,"10,841",205.7,53
ZCTA5 95426,95426,"2,147",20.3,106
ZCTA5 95427,95427,459,69.7,7
ZCTA5 95428,95428,"2,516",225.2,11
ZCTA5 95429,95429,70,40,2
ZCTA5 95430,95430,44,0.2,185
ZCTA5 95431,95431,631,0.1,"8,311"
ZCTA5 95432,95432,426,72.9,6
ZCTA5 95435,95435,82,0.2,532
ZCTA5 95436,95436,"5,418",23,236
ZCTA5 95437,95437,"14,799",97.8,151
ZCTA5 95439,95439,675,2.7,247
ZCTA5 95441,95441,"2,014",101.9,20
ZCTA5 95442,95442,"3,178",24.4,130
ZCTA5 95443,95443,233,4.2,56
ZCTA5 95444,95444,748,0.3,"2,764"
ZCTA5 95445,95445,"2,093",85.5,24
ZCTA5 95446,95446,"4,750",32.9,144
ZCTA5 95448,95448,"16,852",188.5,89
ZCTA5 95449,95449,"1,507",130.6,12
ZCTA5 95450,95450,387,27.4,14
ZCTA5 95451,95451,"11,213",96.2,117
ZCTA5 95452,95452,"1,393",14.4,97
ZCTA5 95453,95453,"11,256",83.7,134
ZCTA5 95454,95454,"2,556",267,10
ZCTA5 95456,95456,795,10.1,79
ZCTA5 95457,95457,"2,893",148.4,19
ZCTA5 95458,95458,"3,104",49,63
ZCTA5 95459,95459,504,67.1,8
ZCTA5 95460,95460,"2,285",27.3,84
ZCTA5 95461,95461,"3,413",125.2,27
ZCTA5 95462,95462,"1,417",5.9,241
ZCTA5 95463,95463,169,11.3,15
ZCTA5 95464,95464,"2,673",3.3,804
ZCTA5 95465,95465,"2,083",41.7,50
ZCTA5 95466,95466,946,94,10
ZCTA5 95467,95467,"5,498",9.8,560
ZCTA5 95468,95468,"1,258",65.2,19
ZCTA5 95469,95469,"1,767",174.7,10
ZCTA5 95470,95470,"6,032",82.5,73
ZCTA5 95471,95471,522,1.4,362
ZCTA5 95472,95472,"28,255",69.1,409
ZCTA5 95476,95476,"35,394",112,316
ZCTA5 95482,95482,"31,808",310.9,102
ZCTA5 95485,95485,"2,557",104.9,24
ZCTA5 95486,95486,62,0,"3,201"
ZCTA5 95488,95488,280,88.7,3
